timesteps,episodes_completed,normalized_reward_mean,extrinsic_reward_mean,intrinsic_reward_mean,speed_penalty_mean,total_reward_mean,episode_return_mean,episode_length_mean,global_parts,ep_parts,global_left_geoms,global_right_geoms,ep_left_geoms,ep_right_geoms,log_std_mean,action_std_mean,randinit_prob,randinit_noise,episode_idx,episode_steps
0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-1.0999574661254883,0.33288524229609,nan,nan,nan,nan
2048,2,0.017224017041246664,0.0,0.008706190476190477,0.0,0.008706190476190477,2.8860710000000003,1000.0,17.0,15.0,4.0,3.0,3.0,3.0,-0.5113338232040405,0.5996951578040474,nan,nan,3.0,48.0
4096,4,0.021451042209814166,0.0,0.009445833333333334,0.0,0.009445833333333334,2.4918210000000003,1000.0,17.0,16.0,4.0,4.0,3.0,3.0,-0.5116676688194275,0.5994949856202078,nan,nan,5.0,96.0
6144,6,0.02492826603009952,0.0,0.010272857142857146,0.0,0.010272857142857146,2.3790155,1000.0,18.0,17.0,4.0,4.0,4.0,3.0,-0.5120014548301697,0.5992949159725799,nan,nan,7.0,144.0
8192,8,0.025093734052308324,0.0,0.010005119047619047,0.0,0.010005119047619047,2.304404375,1000.0,18.0,17.0,4.0,4.0,3.0,3.0,-0.5123353004455566,0.5990948773854193,nan,nan,9.0,192.0
10240,10,0.0028917199319288206,0.0,0.0011461904761904764,0.0,0.0011461904761904764,2.2633377,1000.0,18.0,17.0,4.0,4.0,4.0,2.0,-0.5126692056655884,0.5988948698722006,nan,nan,11.0,240.0
12288,12,0.004373825120971269,0.0,0.0017253571428571433,0.0,0.0017253571428571433,2.24054325,1000.0,19.0,19.0,4.0,6.0,4.0,6.0,-0.5130029916763306,0.5986950005013877,nan,nan,13.0,288.0
14336,14,0.0014522917328722712,0.0,0.0005633333333333334,0.0,0.0005633333333333334,2.2425455714285714,1000.0,19.0,16.0,4.0,6.0,3.0,3.0,-0.5133368372917175,0.5984951621599494,nan,nan,15.0,336.0
16384,16,0.00036289800301269866,0.0,0.00013845238095238095,0.0,0.00013845238095238095,2.212754125,1000.0,19.0,18.0,4.0,6.0,4.0,2.0,-0.5136706233024597,0.5982954261837152,nan,nan,17.0,384.0
18432,18,0.00013642580347733013,0.0,5.178571428571428e-05,0.0,5.178571428571428e-05,2.204420333333333,1000.0,19.0,17.0,4.0,6.0,4.0,4.0,-0.5140044093132019,0.5980957568654305,nan,nan,19.0,432.0
20480,20,0.001067306298892221,0.0,0.00040333333333333334,0.0,0.00040333333333333334,2.19826875,1000.0,19.0,17.0,4.0,6.0,4.0,3.0,-0.5143382549285889,0.5978961185454625,nan,nan,21.0,480.0
22528,22,1.336239361311539e-05,0.0,5e-06,0.0,5e-06,2.1839163636363637,1000.0,19.0,17.0,4.0,6.0,4.0,3.0,-0.514672040939331,0.5976965824882399,nan,nan,23.0,528.0
24576,24,5.36441289674043e-05,0.0,2e-05,0.0,2e-05,2.1716772916666667,1000.0,19.0,17.0,4.0,6.0,3.0,3.0,-0.515005886554718,0.5974970774086453,nan,nan,25.0,576.0
26624,26,1.3504548663808842e-05,0.0,5e-06,0.0,5e-06,2.1657075769230767,1000.0,19.0,18.0,4.0,6.0,4.0,3.0,-0.515339732170105,0.5972976389218305,nan,nan,27.0,624.0
28672,28,0.001068589561171539,0.0,0.0003933333333333333,0.0,0.0003933333333333333,2.161662107142857,1000.0,19.0,17.0,4.0,6.0,4.0,4.0,-0.5156735181808472,0.5970983025953983,nan,nan,29.0,672.0
30720,30,2.7246728860869018e-05,0.0,1e-05,0.0,1e-05,2.1562330333333333,1000.0,19.0,18.0,4.0,6.0,4.0,3.0,-0.5160073637962341,0.5968989972155866,nan,nan,31.0,720.0
32768,32,0.0009520357413421016,0.0,0.00034833333333333336,0.0,0.00034833333333333336,2.1549409375,1000.0,19.0,19.0,4.0,6.0,4.0,3.0,-0.5163412094116211,0.5966997583618966,nan,nan,33.0,768.0
34816,34,1.3682349970785606e-05,0.0,5e-06,0.0,5e-06,2.1565375294117652,1000.0,19.0,18.0,4.0,6.0,4.0,3.0,-0.5166749954223633,0.5965006215663293,nan,nan,35.0,816.0
36864,36,1.3706273098073097e-05,0.0,5e-06,0.0,5e-06,2.155535444444445,1000.0,19.0,18.0,4.0,6.0,4.0,5.0,-0.517008900642395,0.5963014801440666,nan,nan,37.0,864.0
38912,38,5.492941828158753e-05,0.0,2e-05,0.0,2e-05,2.156161421052632,1000.0,19.0,18.0,4.0,6.0,4.0,5.0,-0.5173426866531372,0.5961024762660125,nan,nan,39.0,912.0
40960,40,0.0009458292004997916,0.0,0.00034333333333333335,0.0,0.00034333333333333335,2.1557068999999998,1000.0,19.0,19.0,4.0,6.0,4.0,3.0,-0.5176765322685242,0.5959035032829668,nan,nan,41.0,960.0
43008,43,0.010237834168826683,0.0,0.0037069047619047624,0.0,0.0037069047619047624,2.1618646511627904,1000.0,19.0,8.0,5.0,6.0,1.0,0.0,-0.5180103778839111,0.5957045967150922,nan,nan,44.0,8.0
45056,45,0.025607886728242466,0.0,0.009256785714285714,0.0,0.009256785714285714,2.1606293777777776,1000.0,19.0,15.0,5.0,6.0,3.0,3.0,-0.5183441638946533,0.5955057920351302,nan,nan,46.0,56.0
47104,47,0.02798334919031196,0.0,0.010108571428571429,0.0,0.010108571428571429,2.1566694468085106,1000.0,19.0,17.0,5.0,6.0,4.0,3.0,-0.5186780095100403,0.5953070182192514,nan,nan,48.0,104.0
49152,49,0.029256990166315385,0.0,0.010570238095238096,0.0,0.010570238095238096,2.1546115102040817,1000.0,19.0,18.0,5.0,6.0,4.0,3.0,-0.5190118551254272,0.5951083107520637,nan,nan,50.0,152.0
51200,51,0.027371726246299,0.0,0.00989857142857143,0.0,0.00989857142857143,2.1557084509803923,1000.0,19.0,16.0,5.0,6.0,4.0,3.0,-0.5193456411361694,0.5949097050708012,nan,nan,52.0,200.0
53248,53,0.006246097551356474,0.0,0.002260357142857143,0.0,0.002260357142857143,2.153954396226415,1000.0,19.0,17.0,5.0,6.0,4.0,4.0,-0.5196794271469116,0.5947111656702744,nan,nan,54.0,248.0
55296,55,0.0014214303961794755,0.0,0.0005135714285714286,0.0,0.0005135714285714286,2.1560772727272726,1000.0,19.0,16.0,5.0,6.0,3.0,3.0,-0.5200132727622986,0.5945126570926464,nan,nan,56.0,296.0
57344,57,0.0002982817018588329,0.0,0.00010750000000000001,0.0,0.00010750000000000001,2.153000614035088,1000.0,19.0,17.0,5.0,6.0,4.0,4.0,-0.5203470587730408,0.5943142501990647,nan,nan,58.0,344.0
59392,59,0.0003486073140603232,0.0,0.00012523809523809525,0.0,0.00012523809523809525,2.151912203389831,1000.0,19.0,17.0,5.0,6.0,4.0,3.0,-0.5206809043884277,0.5941158741078103,nan,nan,60.0,392.0
61440,61,0.001970663351152527,0.0,0.0007067857142857144,0.0,0.0007067857142857144,2.1514037540983613,1000.0,19.0,18.0,5.0,6.0,4.0,3.0,-0.5210146903991699,0.5939175996327372,nan,nan,62.0,440.0
