timesteps,episodes_completed,normalized_reward_mean,extrinsic_reward_mean,intrinsic_reward_mean,speed_penalty_mean,total_reward_mean,episode_return_mean,episode_length_mean,global_parts,ep_parts,global_left_geoms,global_right_geoms,ep_left_geoms,ep_right_geoms,log_std_mean,action_std_mean,randinit_prob,randinit_noise,episode_idx,episode_steps
0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-1.0000040531158447,0.36787795011647206,nan,nan,nan,nan
2048,2,0.016968895639270957,0.0,0.007496071428571429,0.0,0.007496071428571429,2.7431905,1000.0,16.0,12.0,3.0,4.0,3.0,3.0,-0.0011263999622315168,0.9988742341880813,0.002,0.1018,3.0,48.0
4096,4,0.024309321645110963,0.0,0.009313333333333333,0.0,0.009313333333333333,2.3330237499999997,1000.0,17.0,15.0,3.0,4.0,2.0,3.0,-0.0022527999244630337,0.9977497357248258,0.004,0.10360000000000001,5.0,96.0
6144,6,0.02503898957783435,0.0,0.009206785714285714,0.0,0.009206785714285714,2.2071626666666666,1000.0,17.0,15.0,3.0,4.0,2.0,3.0,-0.003379200119525194,0.9966265029514507,0.006,0.10540000000000001,7.0,144.0
8192,8,0.0271078612216285,0.0,0.009531785714285715,0.0,0.009531785714285715,2.12733625,1000.0,17.0,16.0,3.0,4.0,3.0,2.0,-0.004505599848926067,0.9955045351389599,0.008,0.10720000000000002,9.0,192.0
10240,10,0.005280038914140228,0.0,0.0018289285714285716,0.0,0.0018289285714285716,2.0815404,1000.0,17.0,16.0,3.0,4.0,2.0,3.0,-0.005632000509649515,0.9943838294731213,0.01,0.109,11.0,240.0
12288,12,0.006188045970374347,0.0,0.002100714285714286,0.0,0.002100714285714286,2.0567598333333335,1000.0,17.0,15.0,3.0,4.0,3.0,2.0,-0.006758400239050388,0.9932643863852381,0.012,0.1108,13.0,288.0
14336,14,0.0011398963467151241,0.0,0.0003833333333333334,0.0,0.0003833333333333334,2.031438714285714,1000.0,17.0,16.0,3.0,4.0,3.0,3.0,-0.007884800434112549,0.9921462030658471,0.014,0.1126,15.0,336.0
16384,16,1.5110455041800328e-05,0.0,5e-06,0.0,5e-06,2.0403898125,1000.0,18.0,15.0,4.0,4.0,2.0,3.0,-0.009011199697852135,0.9910292794822366,0.016,0.1144,17.0,384.0
18432,18,0.00021117662595610876,0.0,6.845238095238096e-05,0.0,6.845238095238096e-05,2.018108388888889,1000.0,18.0,16.0,4.0,4.0,3.0,2.0,-0.010137599892914295,0.9899136123703028,0.018,0.11620000000000001,19.0,432.0
20480,20,0.00017210067672376343,0.0,5.500000000000001e-05,0.0,5.500000000000001e-05,2.0081510999999996,1000.0,18.0,16.0,4.0,4.0,3.0,3.0,-0.01126400101929903,0.9887992003176297,0.02,0.11800000000000001,21.0,480.0
22528,22,0.0019335535830528705,0.0,0.0006117857142857143,0.0,0.0006117857142857143,2.0033072727272723,1000.0,18.0,14.0,4.0,4.0,2.0,4.0,-0.01239040121436119,0.987686043753096,0.022,0.11979999999999999,23.0,528.0
24576,24,7.910797442982749e-05,0.0,2.5e-05,0.0,2.5e-05,1.9985346250000002,1000.0,18.0,16.0,4.0,4.0,2.0,2.0,-0.013516800478100777,0.9865741412612435,0.024,0.12160000000000001,25.0,576.0
26624,26,0.0025333425367394667,0.0,0.000795,0.0,0.000795,1.9982911153846155,1000.0,18.0,15.0,4.0,4.0,2.0,4.0,-0.014643200673162937,0.9854634895926425,0.026,0.1234,27.0,624.0
28672,28,1.5921414352741014e-05,0.0,5e-06,0.0,5e-06,1.9941410714285717,1000.0,18.0,16.0,4.0,4.0,3.0,3.0,-0.015769600868225098,0.9843540882579772,0.028,0.1252,29.0,672.0
